Country,Year,Tempurate_Change,Coastal_or_Landlocked,CO2 emission (Tons),Rural population,Urban population,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use
South Africa,1993,0.836,Coastal,9569003555.0,18731071.0,21569090.0,2431.3837,479.3386,688.9056,11.0779,396.4039,652.0,2855.384,-651.8633,6626.62,4994.6016,3507.7157,2804.0479,1772.7166,7758.7576,367.3197,3450.631846102768,12703.7936,291.2458,8147.7704,897.1473,0.0,6.9192,3532.8042
Spain,1993,-0.059,Coastal,6958126285.0,9635304.0,30003331.0,38.7762,55.3751,1143.7629,683.6417,335.0208,601.0,5642.6624,-43068.9652,0.0,2741.164,2698.296,1468.0014,2699.4654,15683.6371,6318.6112,732.891,26747.1985,2460.2405,3162.6284,7570.9787,0.0,0.0,5375.8321
Sri Lanka,1993,0.217,Coastal,136044642.0,14613828.0,3314748.0,17.7821,7.5926,187.0014,2448.6738,1304.3399,9.0,317.5852,-7.9435,3184.8921,100.8171,90.878,0.0008,0.1108,2936.4991,131.56912352369383,356.4910168671663,329.431,99.9345,374.4496,293.9999,0.0,6.1449,37.557
Suriname,1993,0.286,Coastal,56989622.0,146522.0,283517.0,10.5394,9.3702,14.3058,459.7376,299.4405,4.0,6.8095,-89.0096,2934.2214,48.7657,14.6454,1.8776,67.63136607385836,73.3038,209.58772835754152,3348.741372497252,385.8728,11.8762,47.1009,12.9474,0.0,9.3702,829.0928
Sweden,1993,0.806,Coastal,3604196009.0,1441783.0,7304993.0,0.3601,2.1539,301.2872,926.3422784724488,6874.3204,1.0,1430.4502,-36230.909,34605.4757,138.6362,432.3712,28.2485,337.7709,1879.7865,922.512,583.2095625662666,6005.174,509.0306,374.7409,1309.431,0.0,0.0,1407.1672
Switzerland,1993,0.562,Landlocked,1882945487.0,1808234.0,5083366.0,0.0231,0.2242,76.2813,558.22502907781,942.3446,211.0,1622.6823,-2299.3872,457.4607,262.6605,805.9279,19.0445,258.4989,1185.2834,977.5428,467.2528408639872,3837.2998,501.5673,373.1301,1288.9829,0.0,0.0,430.4136
Thailand,1993,0.389,Coastal,1282487485.0,40894135.0,17470756.0,329.3837,2672.6999,1839.4657,40303.872,1093.8787,375.0,3910.7927,-8642.8357,19078.29,5123.34,1955.5482,83.0703,1009.6553,16525.3782,4680.6254,549.944,17344.2678,1268.4131,3059.2373,3871.3475,150.4154,2168.8799,5436.4268
Togo,1993,0.468,Coastal,18629883.0,2851621.0,1213305.0,690.5057,50.0152,53.9385,8.8435,0.0,4.0,39.2528,-195.0887,2859.939,4.8438,34.3961,0.0445,21.1192,876.106,0.6393,2281.9226291630343,399.0118,43.2925,258.9292,85.3355,0.0,47.608,
Tonga,1993,0.001,Coastal,1315376.0,73837.0,21807.0,0.0,0.0,,921.6641089401876,0.0,0.0,6.6899,0.0,0.0,0.3778,35.40695887651221,0.4741,67.63136607385836,3.6873,209.58772835754152,1186.92864182882,1.0288,4.1199,8.4894,41.8687,0.0,0.0,8.0665
Trinidad and Tobago,1993,0.49,Coastal,622187344.0,564036.0,680371.0,0.6418,1.8763,1.3497,17.64,0.0,0.0,134.6114,-25.1638,107.0783,221.5056,119.6825,121.4348326788838,51.3283,725.7377,298.78954059738186,10264.6671,4091.6436,24.1378,43.9694,21.2776,0.0,1.8763,28.1266
Tunisia,1993,0.635,Coastal,271392299.0,3482192.0,5302696.0,3.4763,2.1205,148.7026,530.9923409910083,0.0,24.0,324.5468,-922.8176,4.6311,1013.3005,327.9316,179.2088,119.0434,2482.8091,166.896,341.8479,2405.63,48.9577,1193.0633,121.1008,0.0,0.0,987.2771
Turkmenistan,1993,-0.157,Landlocked,1018976253.0,2213197.0,1797592.0,76.1773,0.2753,65.6672,237.5598,0.0,197.0,288.0639,0.0,0.0,163.9209,636.4682,984.6278,1.8052,283.0005,180.74785051024003,356.4910168671663,1146.4074,202.5297,599.2542,370.0239,0.0,0.0,
Turks and Caicos Islands,1993,,Landlocked,131904.0,3060.0,10729.0,0.0082,0.0315,,3181.47826732798,0.0,11.481084565896976,3.8657,0.0,0.0,1.3146,0.5387,17.00466278502689,67.63136607385836,0.5196,451.19629118273247,1664.2573914805905,0.0,,2294.30791696942,,0.0,0.0315,1.2778
Tuvalu,1993,0.008,Coastal,32976.0,5205.0,3951.0,0.0,0.0,,2005.8628211661205,0.0,11.481084565896976,0.2372,-0.2348,0.0,0.0732,0.1582,17.00466278502689,67.63136607385836,1.4196,209.58772835754152,860.0921649175077,0.0606,0.5238,0.0033,5.4017,0.0,0.0,0.2755
Uganda,1993,0.176,Landlocked,29516989.0,16936795.0,2338627.0,1591.0273,205.2544,158.4787,103.88,5849.8571,1.0,65.7937,-2016.667,10471.952,0.4532,70.0201,0.0012,67.63136607385836,4369.302,252.2141899664796,380.6732182745384,80.8562,183.6426,2861.3449,405.746,0.0,182.3728,56.4866
Ukraine,1993,-0.724,Coastal,22534462290.0,16999696.0,34317940.0,60.5289,89.0452,2900.5977,180.32,20608.3893,2215.0,3283.2131,-59750.9587,0.0,21064.0865,1329.7283,11376.6077,1674.3696,8371.8297,3943.4671,1638.6363,31485.6076,6044.5928,3168.5792,11078.5492,0.0,0.0,15216.1563
United Arab Emirates,1993,-0.038,Coastal,1005095605.0,472077.0,1735328.0,0.0014,0.0,0.2548,246.40727646443952,0.0,109.73646157385684,1372.4511,,,1067.1276,1141.7911,384.5052,105.1622,1361.1711,339.38922159997446,128.1967,3103.1109,5.7685,176.1809,26.2598,0.0,0.0,
Uruguay,1993,0.28,Coastal,204911349.0,319721.0,2858434.0,10.7642,5.4739,97.0135,1063.888,184.0929,5.0,198.6643,-13373.492,0.0,148.1734,41.0666,2.3831,67.63136607385836,944.4633,252.2141899664796,356.4910168671663,265.7019,199.1699,5782.3298,463.6437,0.0,0.0,557.6328
Vanuatu,1993,-0.281,Coastal,1886960.0,128531.0,31283.0,0.0171,0.7237,0.0559,246.40727646443952,0.0,4.0,3.1585,,,1.3915,3.748,0.576,80.60773166615128,7.3253,252.2141899664796,2240.3929649246866,3.1013,6.2256,85.4584,52.1919,0.0,0.7237,5.5125
Zambia,1993,-0.117,Landlocked,154974900.0,5371241.0,3297927.0,14834.8583,18296.5357,89.4987,27.0519,14437.8645,13.0,94.5963,0.0,3622.96,6.8457,16.8608,2.2999,41.4289,1531.8974,150.57393342476297,380.6732182745384,693.9049,54.5027,1253.1719,152.0766,0.0,16689.0053,44.7612
Zimbabwe,1993,0.3,Landlocked,470798320.0,7531513.0,3374243.0,2043.3344,185.0667,154.2807,0.392,0.0,3.0,206.1952,-269.3677,10670.887,168.6388,306.7333,798.4766,23.9137,822.6668,134.72547558468258,728.1318662573628,896.864,67.3052,2045.4436,194.6127,0.0,0.0,1282.0592
Albania,1994,1.33,Coastal,183368544.0,1936056.0,1204539.0,5.5561,7.0253,42.4253,0.0,110.5705,3.0,72.4242,72.8581,0.0,17.5634,5.7802,3.0976,5.1834,449.4347,131.56912352369383,2903.861148947865,212.3739,260.3013,546.0098,620.2991,0.0,0.0,94.9545
Algeria,1994,0.732,Coastal,1554099666.0,12700801.0,15661452.0,55.6487,89.0459,96.9364,4.555,0.0,63.0,1316.1223,-111.1403,684.9333,8407.2252,178.2,75.586,73.6609,6804.8405,495.7093785906734,106.9836,4665.5834,97.0447,2449.8436,229.8505,0.0,0.0,76.4653
Angola,1994,0.212,Coastal,135504295.0,7889542.0,5951759.0,25197.622,15300.4301,49.1647,188.16,346.4974,0.0,134.8715,0.0,9847.2211,119.8165,38.653,24.28511731117528,67.63136607385836,1526.6197,209.58772835754152,356.4910168671663,208.9405,91.5023,1369.1187,223.8926,0.0,14989.1408,7.0463
Anguilla,1994,0.575,Landlocked,289456.0,0.0,9537.0,0.0,0.0,,5305.567622121682,0.0,11.481084565896976,2.5654,,,6.4208,1.7496,1.0291,74.01813278081946,65.0723473790681,483.1260997993477,2791.6842277879755,0.0,,6328.357702945321,,0.0,0.0,1.1567
Antigua and Barbuda,1994,0.493,Coastal,11435344.0,47095.0,24624.0,0.0,0.0,0.0025,246.40727646443952,0.0,0.0,12.3299,,,6.9225,4.6268,3.1002,172.1797793227163,31.7541,252.2141899664796,1807.613681193928,2.9083,1.9232,8.304,1.4801,0.0,0.0,5.8721
Argentina,1994,0.487,Coastal,4150191001.0,4160961.000000001,30397154.0,2779.692,1097.1782,2233.5385,1108.1056,5128.514,693.0,3935.7432,-40102.7293,81523.288,3031.3517,875.2937,137.9826,46.6455,9486.8681,2979.6768911616605,1108.5552,5737.8275,1025.7309,23504.47,2241.3239,0.0,541.3267,8927.2478
Australia,1994,0.221,Coastal,8700453761.0,2677339.0,15205398.0,54273.0251,4240.9972,1143.4521,1170.414,2803.6452,856.0,7013.909,-10689.5925,58561.2819,8165.5076,2345.7601,2224.0245,7425.8624,3964.6424,7524.058,249.2409,14797.8811,821.9621,30399.3901,6431.594,0.0,144.6461,4364.4825
Austria,1994,1.958,Landlocked,3700899158.0,3030243.0,4916966.0,0.0557,0.4648,248.629,926.3422784724488,270.5645,88.0,1154.4977,-15381.5567,1810.7327,1076.646,518.8384,221.5193,482.4637,1436.6224,1255.2063,1587.9220337412562,12196.9596,729.9042,466.4795,1941.3871,0.0,0.0,1195.8964
Bangladesh,1994,0.175,Coastal,273616468.0,91403486.0,24778781.0,21.0797,123.4557,2072.0324,27607.3958,18069.5813,10.0,247.3619,0.0,0.0304,295.0667,586.7238,213.5239,2.487,14380.6469,1692.8273715810762,694.0161,2609.3416,981.4807,5176.7971,2277.0867,0.0,123.4557,1057.3372
Barbados,1994,0.388,Coastal,22419171.0,169171.0,94844.0,0.0135,0.0,0.0602,246.40727646443952,0.0,17.0,29.9795,0.0234,0.0,78.3589,18.2537,24.28511731117528,80.60773166615128,158.8226,209.58772835754152,658.5406035363438,47.9008,7.0592,18.3305,7.5821,0.0,0.0,9.8199
Belize,1994,0.756,Coastal,6701456.0,107620.0,94054.0,13.4721,92.238,2.3594,3.3226,149.7348,21.0,22.7012,-4.961,6351.884,22.7281,2.1924,0.3161,67.63136607385836,208.3238,209.58772835754152,5704.019786955437,2.1206,4.2884,28.1898,5.6281,0.0,92.238,26.8619
Benin,1994,0.439,Coastal,14391674.0,3631583.0,2082637.0,1035.3695,595.2731,49.2477,6.849,0.0,11.701574813177094,67.25,-64.262,15058.7287,7.3677,57.8155,0.9293,1.6074,475.0002,3.215,2596.513797549764,97.0167,70.2656,716.1469,152.4186,0.0,143.8317,1.39
Bhutan,1994,0.315,Landlocked,1501300.0,415014.0,101489.0,1.4486,23.4914,9.907,90.2227,0.0,1.0,1.4058,-6609.6322,0.0,7.0698,2.7902,0.1097,67.63136607385836,73.384,252.2141899664796,4033.5122384079095,88.8029,12.868,65.19,38.8872,0.0,6.9061,3.5099
Bosnia and Herzegovina,1994,1.691,Landlocked,517024638.0,2349300.0,1599516.0,7.6746,15.6428,51.7478,248.06149701135485,119.1424,37.0,110.5729,3203.3578,0.0,107.706,70.0258,2.9663,0.6948,366.5928,131.56912352369383,52.355,361.0028,172.0524,159.9533,438.9548,0.0,0.0,11.4719
Botswana,1994,-0.123,Landlocked,29191088.0,794926.0,737696.0,5360.7915,44.1559,12.2758,248.06149701135485,513.4005,1.0,96.006,0.0,40513.8067,74.4629,102.9805,115.2309,67.63136607385836,113.0003,2.7515,991.8410391546998,41.1885,20.6728,1073.6091,87.8705,0.0,0.0,64.9982
Brazil,1994,0.608,Coastal,5611334782.0,36887055.0,122818068.0,11123.1473,12184.1197,4705.21,8029.9969,362.9781,1477.0,10868.3848,-346950.8412,1385208.6765,12896.6155,3888.5973,443.8326,3257.8904,68843.1756,4081.6197,2561.0842,37450.2219,8430.2774,66639.5444,9795.033,0.0,11926.1041,14289.0331
Bulgaria,1994,1.583,Coastal,2558500875.0,2749474.0,5725195.0,5.4158,6.2065,405.3657,6.4837,1131.5486,135.0,312.4068,-25291.475,2323.2,991.3599,368.0874,362.7421,891.21,987.6297,1934.7678,2.1203,6047.3731,419.7547,464.7733,740.934,0.0,0.0,1291.2084
Burkina Faso,1994,0.311,Landlocked,11801744.0,8357864.0,1458724.0,1731.0729,714.8419,177.3171,217.3871,0.0,0.0,32.522,4535.52,7724.64,10.6065,71.7251,0.8656,67.63136607385836,1529.6482,209.58772835754152,356.4910168671663,47.6286,130.8491,2913.9895,394.2774,0.0,58.998,
Burundi,1994,,Landlocked,4684897.0,5459750.0,411857.0,24.4799,5.6374,31.7667,24.0766,2905.3453,2.0,15.9128,-1.4222,2077.972,2.7646,22.1356,1.706,67.63136607385836,826.7933,209.58772835754152,6214.551504628308,20.9171,14.1983,271.5038,32.5559,0.0,0.8353,15.0645
Cambodia,1994,0.496,Coastal,17774023.0,8567333.0,1748043.0,1201.9436,4992.8835,239.7611,6530.84,0.0,13.148013896248244,130.9186,-607.7215,4777.0038,32.1518,311.0129,19.980517598753806,124.10557448145366,966.7562,512.6238593688889,356.4910168671663,22.6219,318.5095,755.8426,1258.1667,0.0,2679.3539,0.1947
Cameroon,1994,0.305,Coastal,79648177.0,7605596.0,5504064.0,2292.009,1459.3803,83.7117,22.3068,1285.5351,3.0,176.2329,-169.917,51287.1809,38.2977,176.496,0.3605,67.63136607385836,1737.3352,209.58772835754152,356.4910168671663,1325.4027,128.913,2483.8998,346.7569,0.0,1327.7284,
Canada,1994,0.467,Coastal,19021654839.0,6555733.0,22470455.0,819.7796,1678.9061,3065.1988,1368.7218726914737,36092.8796,257.0,13019.9448,-67909.0539,113851.7825,8703.4368,2905.5205,1678.679,3537.1513,5106.5307,2786.7265166262428,8388.6703,52262.7297,1338.0217,4148.9615,6791.0268,0.0,0.0,13048.3151
Chad,1994,0.381,Landlocked,6459632.0,5320179.0,1451954.0,5517.331,2115.7981,90.6315,101.9161,0.0,1.0,31.3302,-37.2057,7663.3333,36.606,85.3915,5.8846,67.63136607385836,849.8691,209.58772835754152,356.4910168671663,28.8197,79.0766,4914.0264,509.1614,0.0,1290.5473,46.503
Chile,1994,0.279,Coastal,1139583670.0,2223173.0,11868216.0,29.9029,186.2412,159.2817,188.0377,995.0727,101.0,1293.207,-20763.102,3010.0184,1074.7162,179.5229,29.4804,255.561,3441.3584,393.18286444624033,142.9896,1933.3336,479.7566,1934.3129,352.9269,0.0,0.0,819.5209
Colombia,1994,0.245,Coastal,1551279601.0,10557927.0,26265610.0,1420.5829,362.5278,263.8167,2368.7005,403.2156,463.0,2246.1436,-2843.1953,94828.6335,2775.875,457.4949,66.2551,626.9183,9693.5323,2653.0701,193.9753,4999.5241,1371.2656,10696.8974,1334.074,0.0,332.7137,2914.7221
Cook Islands,1994,0.186,Landlocked,718144.0,7847.0,11116.0,0.0,0.0,,921.6641089401876,0.0,0.0,2.0713,-21.209,0.0,,37.83863072271242,0.3284,212.0336516148264,65.0723473790681,267.88728348701545,1005.5877524588848,0.1648,1.1333,0.9033,12.0866,0.0,0.0,3.8829
Costa Rica,1994,0.514,Coastal,75796865.0,1587694.0,1837996.0,11.1555,27.6785,17.7083,35.1099,121.5115,10.0,305.2113,-909.3333,3190.8507,166.8636,17.8672,3.8595,13.4931,1348.5267,303.8421,356.4910168671663,632.0805,129.2524,751.0276,114.926,0.0,21.8876,209.3268
Cuba,1994,1.016,Coastal,940131606.0,2807344.0,8043241.0,52.6404,57.2901,45.14,1307.1867,0.0,81.8720417941878,471.5258,-10946.034,120.835,931.9206,421.9255,135.108,4.527,3036.5563,36.1356,22.3552,1636.0641,346.8712,2234.4379,463.9659,0.0,51.8669,1037.7155
Cyprus,1994,1.047,Coastal,102923528.0,268585.0,568525.0,0.988,0.0145,12.1188,248.06149701135485,0.0,39.0,103.876,-69.5346,0.0,81.9027,107.8781,51.966,81.8515,243.7772,79.4685,2210.0975110932354,886.8263,31.8664,81.2201,73.378,0.0,0.0,78.6565
Denmark,1994,0.967,Coastal,2802597392.0,784208.0,4427126.0,0.0592,0.0622,483.936,926.3422784724488,2393.0584,95.0,877.4448,-822.9159,0.0,2319.3789,1051.6015,1205.4139,295.4017,1643.1257,3403.6393,622.4599576639342,6297.0307,1016.2277,395.1112,3235.9023,0.0,0.0,2549.7676
Djibouti,1994,0.275,Coastal,8189040.0,147789.0,474577.0,0.0014,0.0004,0.3457,246.40727646443952,0.0,11.481084565896976,5.4611,0.0,0.0,7.0631,8.954,2.7012,67.63136607385836,57.2346,209.58772835754152,1106.7563925383438,3.3318,3.1762,177.238,18.0072,0.0,0.0,16.6776
Dominica,1994,0.572,Coastal,1234768.0,25164.0,46209.0,0.0,0.0,0.011,448.3574670073912,0.0,11.481084565896976,4.9292,0.1781,54.9141,4.6453,0.1327,0.6037,128.20038881234169,16.0095,209.58772835754152,1823.3570653503384,24.5036,2.1701,6.0535,1.2961,0.0,0.0,0.5004
Ecuador,1994,0.363,Coastal,393604299.0,4786069.0,6410410.0,15.9962,10.3421,159.0381,2234.1648,16.5996,136.2619914673502,880.7451,-1042.183,37579.7727,927.0134,58.9439,236.2346,71.28785384639453,3708.5535,415.1214451551298,356.4910168671663,1101.0342,462.306,2295.5784,521.3555,0.0,1.2982,335.5792
El Salvador,1994,0.641,Coastal,72636754.0,2622523.0,2922422.0,3.2127,6.6338,46.6219,11.6894,0.0,71.0,208.1538,-61.5014,1142.5814,224.9256,68.52,17.0914,0.0589,1624.7801,131.56912352369383,2393.117896231216,438.0511,90.9849,503.1248,76.5233,0.0,2.6273,120.951
Finland,1994,0.146,Coastal,1719833434.0,984374.0,4112723.0,0.767,0.6875,207.1002,629.2443362949037,10700.6696,59.0,864.6585,-38482.9987,1917.8619,822.2544,405.5322,208.5268,474.2574,1821.6609,1144.0772,42.9051,3028.3568,348.2754,242.58,879.4759,0.0,0.0,1877.1538
France,1994,1.547,Coastal,29013651939.0,14646915.0,43343746.0,5.7941,20.8225,3010.6162,396.8294,6071.5437,1512.0,9103.7781,-30397.84,0.0,5435.8175,3894.6843,173.4445,2264.3166,7909.0638,34336.9352,1109.1009,59019.8541,5733.9084,4603.5615,12438.5676,0.0,0.0,12522.7811
French Polynesia,1994,0.543,Landlocked,10493696.0,91231.0,120348.0,0.0,0.0072,0.0152,246.40727646443952,0.0,1.0,18.5926,-116.7509,0.0,4.0826,35.40695887651221,17.00466278502689,134.46383533197005,9.8993,386.1925718678925,2005.7921290780253,,2.3058,5.9288,18.8108,0.0,0.0072,5.5556
Gabon,1994,0.187,Coastal,135597103.0,276087.0,782576.0,203.7109,47.2405,1.7693,0.7742,492.5978,11.481084565896976,35.0868,0.0,2939.7053,42.46,15.0017,2.3087,67.63136607385836,126.6723,10.1166,2600.3815796504973,72.9849,17.8318,43.6634,31.8133,0.0,47.1782,18.3399
Georgia,1994,0.451,Landlocked,491087718.0,2345420.0,2762254.0,5.1179,6.007,30.5196,248.06149701135485,0.0,54.0,31.861,-18267.5508,0.0,210.6564,146.6635,170.4789,8.992,405.1169,14.1658,127.9429,1165.9431,54.742,619.4332,106.3637,0.0,0.0,465.071
Germany,1994,1.625,Coastal,70668141479.0,21276902.0,59654139.0,0.1033,1.0356,2128.4943,1463.3911657788956,28454.695,2096.0,12661.5119,-61226.308,0.0,33856.0912,12938.4623,3030.2025,6750.5415,24192.2152,17684.136,1269.438,82728.9014,4995.2648,3225.4425,13195.8727,0.0,0.0,7819.5182
Ghana,1994,0.564,Coastal,105023908.0,9897780.0,6432394.0,3756.9921,192.4718,101.2384,152.2214,84.4842,1.0,273.6739,-13821.5288,23593.3071,80.5556,126.702,0.0044,0.1106,3588.7147,178.05810542859837,356.4910168671663,1296.6762,57.5714,879.255,139.8305,0.0,183.888,316.1199
Greece,1994,1.06,Coastal,1663914264.0,2991936.0,7692882.0,15.9779,28.832,304.5069,334.1722,1291.9837,57.0,1345.1508,-2343.0551,0.0,3446.043,1140.3839,1974.5023,936.657,4795.5409,1779.7618,247.8073,11594.3207,384.2596,1354.2856,861.5858,0.0,0.0,3091.2632
Greenland,1994,-0.425,Landlocked,17453952.0,10770.0,45045.0,0.0784,0.0,,1123.9382322317097,0.0,11.481084565896976,7.1248,-0.1356,0.0,7.7162,1.2628,0.1862,0.1044,2.7157,22.3773,2005.7921290780253,,,2128.6037254870294,,0.0,0.0,44.7861
Grenada,1994,0.456,Coastal,2154432.0,65382.00000000001,34023.0,0.0,0.0043,0.0272,246.40727646443952,0.0,11.481084565896976,5.276,0.0,0.0,12.2304,1.8485,17.00466278502689,128.20038881234169,30.9882,209.58772835754152,658.5406035363438,2.8963,0.8922,3.7207,1.0867,0.0,0.0043,6.3302
Guadeloupe,1994,0.564,Landlocked,22893953.0,9959.0,389511.0,0.0,0.0,,854.6727815931768,0.0,11.481084565896976,56.7424,0.0,66.66,21.9112,50.39273817665109,0.4224,77.39365076150476,66.91570996841124,396.3891812871053,2005.7921290780253,,4.9081,28.5889,7.3738,0.0,0.0,3.0373
Guatemala,1994,0.592,Coastal,125213287.0,5765621.0,4406676.0,114.3092,499.0734,78.881,10.1348,0.0,276.0,302.9519,-366.4613,16490.76,377.8694,97.1526,4.5626,67.63136607385836,2623.2746,271.2436731670758,2080.52780485821,577.8851,213.8902,977.7818,224.3454,0.0,484.7736,108.1963
Guinea,1994,0.471,Coastal,30814240.0,5342733.0,2201558.0,2824.915,247.0885,103.0283,1591.7087,706.9234,1.0,31.0449,-89.4923,9877.472,6.3131,60.0802,9.6253,67.63136607385836,665.3315,209.58772835754152,356.4910168671663,36.822,24.8338,956.9072,85.0523,0.0,243.2402,90.5142
Guinea-Bissau,1994,0.744,Coastal,4162304.0,734916.0,378625.0,315.0207,344.4118,15.5001,127.9684,1.1817,1.0,5.3492,-2.816,1489.136,4.1807,8.2524,1.1046,67.63136607385836,225.1754,209.58772835754152,5483.592107512995,5.5332,31.7482,227.543,66.9398,0.0,344.4118,24.5025
Guyana,1994,0.482,Coastal,50852656.0,536712.0,221630.0,31.6367,34.7888,25.0142,755.0633,2065.2671,12.0,43.39,0.0,4015.6997,26.5661,19.8457,146.676,67.63136607385836,164.5849,232.6111150114557,4376.631835523651,4.8942,12.166,95.3131,14.9183,0.0,33.5891,399.3028
Haiti,1994,1.198,Coastal,22917113.0,5219918.0,2454993.0,0.478,0.0642,37.4018,166.208,0.0,0.0,12.7411,-138.1928,207.8648,10.1077,327.1818,17.00466278502689,67.63136607385836,2509.0873,209.58772835754152,356.4910168671663,20.7224,76.4714,737.0306,116.9918,0.0,0.0493,3.5099
Honduras,1994,0.774,Coastal,63422259.0,3196017.0,2356608.0,135.3009,426.2687,47.1699,11.524,0.0,6.0,211.4969,0.0,5534.1368,85.3457,97.7175,24.6738,0.0286,1736.6961,131.56912352369383,2393.117896231216,282.0162,125.5029,943.4115,135.9512,0.0,362.6529,72.3062
Hungary,1994,1.755,Landlocked,3589317342.0,3590606.0,6767516.0,0.616,1.462,652.5024,37.7104,5705.8049,277.0,557.6575,-4186.2381,0.0,1930.0315,1081.1836,641.2342,520.6767,1481.4818,2029.2673,881.3646,6450.1345,586.4728,219.7053,1267.8127,0.0,0.0,1643.3544
Iceland,1994,-0.108,Coastal,68348846.0,22642.0,242496.0,0.041,0.0,0.1441,246.40727646443952,731.1029,0.0,70.9599,-20.1724,0.0,0.8881,0.4306,0.5742,8.5933,189.6186,157.5583,1867.9443802787016,569.958,25.2939,68.0813,55.8209,0.0,0.0,868.6262
India,1994,0.107,Coastal,13683632227.0,693476126.0,248728123.0,333.7507,4560.8585,16262.4925,126544.4835,5007.9141,2006.0,10534.4403,-227396.9133,0.0,10234.5431,7982.2834,62307.0251,1830.6291,123869.9941,395.4373,6753.2465,58123.1583,11099.334,47811.4889,32229.2937,0.0,1290.5445,20574.5957
Indonesia,1994,0.343,Coastal,3726028886.0,126193422.0,67751850.0,472.1743,4771.0199,3420.99,63543.9243,187368.071,83.0,4799.5971,-487800.4147,724602.1998,5541.3797,1471.5082,1402.8948,643.4613,68305.0982,2046.1358,1263.3815,21685.618,2604.834,6354.1789,6105.7058,250598.2596,4690.0281,5004.7372
Iraq,1994,1.009,Coastal,1443781720.0,6081763.0,13515476.0,81.3996,11.7017,254.538,1277.92,0.0,55.0,2774.8077,-137.3753,0.0,2122.9386,41.3283,1547.9615,80.09086828062998,7360.4332,0.3341,36.8304,2467.3712,38.1628,1500.5051,136.5964,0.0,0.0,
Ireland,1994,0.282,Coastal,1144901977.0,1533022.0,2093777.0,2.1526,0.4185,101.5575,590.4333324942916,11386.4848,15.0,442.2238,-3578.095,0.0,585.0339,522.9219,362.1462,174.2543,658.344,1887.3385,440.097139108734,3379.5642,1363.4494,1565.8184,2854.7454,0.0,0.0,1042.6923
Israel,1994,0.796,Coastal,798499892.0,477005.0,4689067.0,0.7296,0.0034,13.7454,248.06149701135485,0.0,223.0,1163.3121,-25.8793,1.6353,1076.7242,1135.8061,987.938,178.3222,248.4749,714.481,34.093,3125.2172,44.9422,355.4489,68.0377,0.0,0.0,961.3022
Italy,1994,1.513,Coastal,13608958621.0,18971813.0,38279554.0,8.1112,17.8496,1108.4311,3329.7405,705.5393,1341.0,7860.4259,-35316.1233,0.0,13348.8652,5470.7368,2432.7119,4563.9243,11650.8925,38468.021,992.597,38493.4575,2667.9311,2374.6256,6541.7486,0.0,0.0,9617.7096
Jamaica,1994,1.097,Coastal,212978422.0,1247089.0,1265960.0,0.3123,0.7944,0.3935,0.2728,179.6158,0.0,168.5769,154.051,19.7929,178.0369,22.551,12.9195,67.63136607385836,1166.6193,209.58772835754152,2837.1258627598213,256.8245,32.4712,227.9504,46.2667,0.0,0.7794,1559.4842
Japan,1994,0.965,Coastal,33562482561.0,27883775.0,98179399.0,1.0504,13.4631,900.7912,12876.4944,5342.1812,1705.0,26166.2611,-82832.9333,1990.2667,14674.349,20671.3207,1315.0432,10486.8623,12366.7178,16494.1116,1136.1404,128568.8154,1160.6671,1591.4072,2637.7473,0.0,0.0,17775.7461
Jordan,1994,0.941,Coastal,177001413.0,978521.0,3417432.0,0.049,0.0,6.6273,246.40727646443952,0.0,127.0,329.8524,0.0,0.0,404.4034,48.2649,84.2302,52.8391,1368.2257,0.0002,281.0188,1970.921,15.5538,326.873,34.5301,0.0,0.0,188.3073
Kenya,1994,0.488,Coastal,166364375.0,21782569.0,4765917.0,208.9105,23.9599,234.8328,21.1484,158.1011,41.0,255.9758,-4458.2606,0.0,14.9054,15.925,2.9708,67.63136607385836,5180.3453,16.654,491.826825985964,696.1773,226.4999,7366.1471,613.2699,0.0,0.3672,265.3699
Kiribati,1994,0.096,Coastal,787760.0,48975.0,27696.0,0.0,0.0,,3801.837229834923,0.0,11.481084565896976,2.1344,,,0.6554,0.2056,17.00466278502689,67.63136607385836,3.4018,252.2141899664796,1922.0556140048525,0.8534,0.9883,0.0347,4.2255,0.0,0.0,1.1683
Kuwait,1994,0.993,Coastal,931382382.0,32789.0,1631143.0,0.0005,0.0,0.0933,246.40727646443952,0.0,0.0,561.9032,-19.0487,0.0,941.016,399.5515,306.3905,7.5869,1074.592,207.62449451491463,132.4356,3660.8809,13.1195,81.2686,17.9,0.0,0.0,
Latvia,1994,0.689,Coastal,746867217.0,791043.0,1752579.0,0.5974,1.6466,74.3017,364.80574602908143,4307.4436,5.0,185.0975,-14977.2297,0.0,183.3045,132.6022,51.4439,61.3944,140.4025,443.8941,374.5234206064291,488.0775,201.0618,143.2367,508.5512,0.0,0.0,611.6606
